Row;BM-CLC;BM-MEGAHIT;BM-MetaSPADES;CH-MetaSPADES;SH-CLC
connectedComponent0605;1;1;1;1;1;
connectedComponent0606;1;1;1;1;0;
connectedComponent0607;1;1;0;0;1;
connectedComponent0608;0;0;1;1;0;
connectedComponent0609;0;0;1;1;0;
connectedComponent0610;0;0;1;1;0;
connectedComponent0611;1;0;1;1;0;
connectedComponent0612;1;0;1;1;0;
connectedComponent0613;1;0;1;1;0;
connectedComponent0614;0;0;1;1;0;
connectedComponent0615;1;0;1;1;1;
connectedComponent0616;1;1;0;0;1;
connectedComponent0617;1;1;1;1;0;
connectedComponent0618;1;0;1;1;1;
connectedComponent0619;0;0;1;1;0;
connectedComponent0620;0;0;1;1;0;
connectedComponent0621;1;1;1;1;1;
connectedComponent0622;1;0;1;1;1;
connectedComponent0623;1;0;1;1;0;
connectedComponent0624;0;0;1;1;0;
connectedComponent0625;1;1;1;1;1;
connectedComponent0626;1;1;1;1;0;
connectedComponent0627;0;0;1;1;0;
connectedComponent0628;1;1;1;1;1;
connectedComponent0629;1;1;1;1;1;
connectedComponent0630;1;0;1;1;0;
connectedComponent0631;1;1;1;1;1;
connectedComponent0632;1;1;1;1;0;
connectedComponent0633;0;0;1;1;0;
connectedComponent0634;0;0;1;1;0;
connectedComponent0635;1;1;1;1;1;
connectedComponent0636;0;0;1;1;0;
connectedComponent0637;1;1;1;1;1;
connectedComponent0638;0;0;1;1;0;
connectedComponent0639;1;1;0;0;1;
connectedComponent0640;1;1;1;1;1;
connectedComponent0641;0;1;1;1;0;
connectedComponent0642;1;0;1;1;0;
connectedComponent0643;1;1;1;1;1;
connectedComponent0644;1;0;0;1;1;
connectedComponent0645;1;1;1;1;1;
connectedComponent0646;1;1;1;1;1;
connectedComponent0647;1;0;1;1;1;
connectedComponent0648;1;0;1;1;0;
connectedComponent0649;0;1;1;1;0;
connectedComponent0650;0;0;1;1;0;
connectedComponent0651;0;0;1;1;0;
connectedComponent0652;0;0;1;1;0;
connectedComponent0653;1;1;1;1;0;
connectedComponent0654;1;1;1;1;1;
connectedComponent0655;1;0;1;1;0;
connectedComponent0656;0;0;1;1;0;
connectedComponent0657;0;1;1;1;0;
connectedComponent0658;1;1;1;1;1;
connectedComponent0659;0;0;1;1;0;
connectedComponent0660;0;1;0;1;0;
connectedComponent0661;0;0;1;1;0;
connectedComponent0662;1;0;1;1;0;
connectedComponent0663;1;1;1;1;1;
connectedComponent0664;0;0;1;1;0;
connectedComponent0665;1;1;0;1;1;
connectedComponent0666;1;1;1;1;1;
connectedComponent0667;1;1;1;0;0;
connectedComponent0668;1;1;1;1;1;
connectedComponent0669;1;1;1;1;1;
connectedComponent0670;1;1;1;1;1;
connectedComponent0671;1;0;1;1;0;
connectedComponent0672;1;1;0;0;1;
connectedComponent0673;0;0;1;1;0;
connectedComponent0674;1;1;1;1;1;
connectedComponent0675;0;0;1;1;0;
connectedComponent0676;1;1;1;1;1;
connectedComponent0677;0;0;1;1;0;
connectedComponent0678;1;0;1;1;0;
connectedComponent0679;1;0;1;1;0;
connectedComponent0680;1;0;1;1;0;
connectedComponent0681;0;0;1;1;0;
connectedComponent0682;0;0;1;1;0;
connectedComponent0683;1;1;1;1;0;
connectedComponent0684;1;1;1;1;1;
connectedComponent0685;1;1;1;1;1;
connectedComponent0686;1;0;0;0;1;
